task,model,legacy_pnum,n_runs,n_seeds,seeds,mean_score,baseline_score,delta_vs_baseline
sentiment,flan-t5-large,1,3,3,42 | 43 | 44,0.93,0.93,0.0
sentiment,flan-t5-large,2,3,3,42 | 43 | 44,0.94,0.93,0.01
sentiment,flan-t5-large,3,3,3,42 | 43 | 44,0.95,0.93,0.02
sentiment,flan-t5-large,4,3,3,42 | 43 | 44,0.94,0.93,0.01
sentiment,flan-t5-large,5,3,3,42 | 43 | 44,0.93,0.93,0.0
sentiment,flan-t5-large,6,3,3,42 | 43 | 44,0.93,0.93,0.0
sentiment,flan-t5-large,7,3,3,42 | 43 | 44,0.94,0.93,0.01
sentiment,flan-t5-large,8,3,3,42 | 43 | 44,0.93,0.93,0.0
sentiment,flan-t5-large,9,3,3,42 | 43 | 44,0.93,0.93,0.0
sentiment,flan-t5-large,10,3,3,42 | 43 | 44,0.93,0.93,0.0
sum,flan-t5-large,1,3,3,42 | 43 | 44,0.02,0.03,-0.01
sum,flan-t5-large,2,3,3,42 | 43 | 44,0.02,0.03,-0.01
sum,flan-t5-large,3,3,3,42 | 43 | 44,0.03,0.03,0.0
sum,flan-t5-large,4,3,3,42 | 43 | 44,0.02,0.03,-0.01
sum,flan-t5-large,5,3,3,42 | 43 | 44,0.02,0.03,-0.01
sum,flan-t5-large,6,3,3,42 | 43 | 44,0.02,0.03,-0.01
sum,flan-t5-large,7,3,3,42 | 43 | 44,0.02,0.03,-0.01
sum,flan-t5-large,8,3,3,42 | 43 | 44,0.02,0.03,-0.01
sum,flan-t5-large,9,3,3,42 | 43 | 44,0.02,0.03,-0.01
sum,flan-t5-large,10,3,3,42 | 43 | 44,0.02,0.03,-0.01
