task,pair,n_seeds,mean_neg_minus_neutral,std_neg_minus_neutral,mean_neg_minus_positive,std_neg_minus_positive,mean_neg_minus_ambiguous,std_neg_minus_ambiguous
active_to_passive,1,3,0.06,0.0,0.04,0.0,0.05,0.0
active_to_passive,2,3,-0.07,0.0,0.0,0.0,0.0,0.0
active_to_passive,3,3,-0.01,0.0,-0.04,0.0,-0.03,0.0
active_to_passive,4,3,0.0,0.0,0.0,0.0,0.02,0.0
antonyms,1,3,-0.01,0.0,0.0,0.0,0.0,0.0
antonyms,2,3,-0.02,0.0,-0.01,0.0,-0.01,0.0
antonyms,3,3,-0.04,0.0,-0.05,0.0,-0.01,0.0
antonyms,4,3,0.01,0.0,0.03,0.0,0.01,0.0
cause_and_effect,1,3,-0.106667,0.037712,-0.053333,0.018856,-0.173333,0.049889
cause_and_effect,2,3,0.08,0.03266,-0.0,0.06532,0.04,0.03266
cause_and_effect,3,3,-0.04,0.03266,-0.013333,0.018856,-0.08,0.0
cause_and_effect,4,3,-0.066667,0.049889,-0.053333,0.018856,0.026667,0.018856
common_concept,1,3,0.0,0.0,0.0,0.0,0.0,0.0
common_concept,2,3,0.0,0.0,0.0,0.0,0.0,0.0
common_concept,3,3,0.0,0.0,0.0,0.0,0.0,0.0
common_concept,4,3,0.0,0.0,0.0,0.0,0.0,0.0
diff,1,3,0.03,0.0,0.03,0.0,0.03,0.0
diff,2,3,0.0,0.0,0.0,0.0,0.01,0.0
diff,3,3,-0.01,0.0,0.0,0.0,-0.01,0.0
diff,4,3,-0.01,0.0,0.0,0.0,0.0,0.0
first_word_letter,1,3,0.0,0.0,0.0,0.0,0.0,0.0
first_word_letter,2,3,0.0,0.0,0.0,0.0,0.0,0.0
first_word_letter,3,3,0.0,0.0,0.0,0.0,0.0,0.0
first_word_letter,4,3,0.0,0.0,0.0,0.0,0.0,0.0
informal_to_formal,1,3,0.0,0.0,0.0,0.0,0.0,0.0
informal_to_formal,2,3,0.0,0.0,0.0,0.0,0.0,0.0
informal_to_formal,3,3,0.0,0.0,0.0,0.0,0.0,0.0
informal_to_formal,4,3,0.0,0.0,0.0,0.0,0.0,0.0
larger_animal,1,3,0.07,0.0,0.08,0.0,0.06,0.0
larger_animal,2,3,-0.27,0.0,-0.08,0.0,-0.07,0.0
larger_animal,3,3,0.02,0.0,0.03,0.0,0.03,0.0
larger_animal,4,3,0.03,0.0,0.02,0.0,0.04,0.0
letters_list,1,3,0.0,0.0,0.0,0.0,0.0,0.0
letters_list,2,3,0.0,0.0,0.0,0.0,0.0,0.0
letters_list,3,3,0.0,0.0,0.0,0.0,0.0,0.0
letters_list,4,3,0.0,0.0,0.0,0.0,0.0,0.0
negation,1,3,-0.05,0.0,-0.02,0.0,-0.04,0.0
negation,2,3,0.01,0.0,0.01,0.0,0.01,0.0
negation,3,3,0.0,0.0,-0.03,0.0,0.0,0.0
negation,4,3,0.03,0.0,0.0,0.0,0.02,0.0
num_to_verbal,1,3,0.0,0.0,0.0,0.0,0.0,0.0
num_to_verbal,2,3,0.0,0.0,0.0,0.0,0.0,0.0
num_to_verbal,3,3,0.0,0.0,0.0,0.0,0.0,0.0
num_to_verbal,4,3,0.0,0.0,0.0,0.0,0.0,0.0
orthography_starts_with,1,3,0.09,0.0,0.06,0.0,0.05,0.0
orthography_starts_with,2,3,-0.08,0.0,-0.02,0.0,-0.02,0.0
orthography_starts_with,3,3,0.09,0.0,0.03,0.0,0.06,0.0
orthography_starts_with,4,3,0.03,0.0,0.06,0.0,0.04,0.0
rhymes,1,3,-0.04,0.0,-0.04,0.0,-0.03,0.0
rhymes,2,3,0.05,0.0,-0.01,0.0,0.04,0.0
rhymes,3,3,-0.02,0.0,-0.11,0.0,0.0,0.0
rhymes,4,3,-0.02,0.0,-0.04,0.0,-0.03,0.0
second_word_letter,1,3,-0.11,0.0,-0.11,0.0,-0.11,0.0
second_word_letter,2,3,0.0,0.0,0.0,0.0,0.0,0.0
second_word_letter,3,3,-0.01,0.0,0.04,0.0,-0.01,0.0
second_word_letter,4,3,-0.03,0.0,-0.03,0.0,-0.03,0.0
sentence_similarity,1,3,0.0,0.0,0.0,0.0,0.0,0.0
sentence_similarity,2,3,0.0,0.0,0.0,0.0,0.0,0.0
sentence_similarity,3,3,0.0,0.0,0.0,0.0,0.0,0.0
sentence_similarity,4,3,0.0,0.0,0.0,0.0,0.0,0.0
sentiment,1,3,0.0,0.0,0.0,0.0,0.0,0.0
sentiment,2,3,0.0,0.0,0.0,0.0,0.0,0.0
sentiment,3,3,0.0,0.0,0.0,0.0,0.0,0.0
sentiment,4,3,0.0,0.0,0.0,0.0,0.0,0.0
singular_to_plural,1,3,0.02,0.0,0.09,0.0,0.21,0.0
singular_to_plural,2,3,-0.14,0.0,-0.06,0.0,-0.16,0.0
singular_to_plural,3,3,-0.33,0.0,-0.26,0.0,-0.12,0.0
singular_to_plural,4,3,-0.12,0.0,-0.18,0.0,-0.18,0.0
sum,1,3,0.0,0.0,-0.01,0.0,0.0,0.0
sum,2,3,0.0,0.0,-0.01,0.0,0.0,0.0
sum,3,3,0.0,0.0,0.0,0.0,0.0,0.0
sum,4,3,0.0,0.0,0.0,0.0,-0.01,0.0
synonyms,1,3,-0.01,0.0,-0.01,0.0,-0.01,0.0
synonyms,2,3,0.0,0.0,0.0,0.0,0.0,0.0
synonyms,3,3,0.0,0.0,-0.01,0.0,-0.02,0.0
synonyms,4,3,-0.01,0.0,0.0,0.0,0.0,0.0
taxonomy_animal,1,3,-0.01,0.0,-0.01,0.0,-0.02,0.0
taxonomy_animal,2,3,0.08,0.0,-0.05,0.0,-0.07,0.0
taxonomy_animal,3,3,-0.02,0.0,-0.09,0.0,-0.01,0.0
taxonomy_animal,4,3,0.01,0.0,-0.06,0.0,0.05,0.0
translation_en-de,1,3,0.01,0.0,0.02,0.0,0.03,0.0
translation_en-de,2,3,-0.03,0.0,0.01,0.0,0.0,0.0
translation_en-de,3,3,-0.01,0.0,-0.02,0.0,-0.01,0.0
translation_en-de,4,3,-0.02,0.0,0.0,0.0,-0.01,0.0
translation_en-es,1,3,0.01,0.0,0.01,0.0,0.05,0.0
translation_en-es,2,3,-0.07,0.0,-0.05,0.0,-0.04,0.0
translation_en-es,3,3,0.01,0.0,-0.04,0.0,0.01,0.0
translation_en-es,4,3,0.04,0.0,0.0,0.0,-0.03,0.0
translation_en-fr,1,3,0.01,0.0,0.03,0.0,0.02,0.0
translation_en-fr,2,3,-0.03,0.0,-0.02,0.0,-0.03,0.0
translation_en-fr,3,3,-0.05,0.0,0.0,0.0,-0.06,0.0
translation_en-fr,4,3,0.03,0.0,-0.01,0.0,0.02,0.0
word_in_context,1,3,0.05,0.0,-0.01,0.0,0.01,0.0
word_in_context,2,3,0.0,0.0,-0.11,0.0,-0.08,0.0
word_in_context,3,3,0.06,0.0,0.05,0.0,0.06,0.0
word_in_context,4,3,0.04,0.0,0.0,0.0,-0.03,0.0
