task_family,stimulus_group,mean_delta_vs_baseline,mean_delta_h3_minus_negative_original,n_tasks
causal_reasoning,negative_original,-0.130666,,1
causal_reasoning,competence_threat,-0.086666,0.044,1
causal_reasoning,inconsistency,-0.106666,0.024,1
causal_reasoning,regret,-0.12,0.010666,1
causal_reasoning,social_comparison,-0.02,0.110666,1
causal_reasoning,urgency,-0.08,0.050666,1
comparative_reasoning,negative_original,-0.038,,1
comparative_reasoning,competence_threat,-0.015,0.023,1
comparative_reasoning,inconsistency,-0.025,0.013,1
comparative_reasoning,regret,-0.04,-0.002,1
comparative_reasoning,social_comparison,-0.06,-0.022,1
comparative_reasoning,urgency,-0.045,-0.007,1
lexical_generation,negative_original,0.075,,1
lexical_generation,competence_threat,-0.025,-0.1,1
lexical_generation,inconsistency,-0.09,-0.165,1
lexical_generation,regret,-0.04,-0.115,1
lexical_generation,social_comparison,-0.005,-0.08,1
lexical_generation,urgency,0.03,-0.045,1
lexical_semantics,negative_original,-0.010667,,3
lexical_semantics,competence_threat,-0.031667,-0.021,3
lexical_semantics,inconsistency,-0.031667,-0.021,3
lexical_semantics,regret,-0.021667,-0.011,3
lexical_semantics,social_comparison,-0.03,-0.019333,3
lexical_semantics,urgency,-0.033333,-0.022667,3
morphology,negative_original,-0.252,,1
morphology,competence_threat,-0.075,0.177,1
morphology,inconsistency,0.01,0.262,1
morphology,regret,-0.29,-0.038,1
morphology,social_comparison,-0.235,0.017,1
morphology,urgency,-0.2,0.052,1
numerical_reasoning,negative_original,-0.015,,2
numerical_reasoning,competence_threat,-0.005,0.01,2
numerical_reasoning,inconsistency,-0.005,0.01,2
numerical_reasoning,regret,-0.0125,0.0025,2
numerical_reasoning,social_comparison,-0.01,0.005,2
numerical_reasoning,urgency,-0.0125,0.0025,2
numerical_verbalization,negative_original,0.0,,1
numerical_verbalization,competence_threat,0.0,0.0,1
numerical_verbalization,inconsistency,0.0,0.0,1
numerical_verbalization,regret,0.0,0.0,1
numerical_verbalization,social_comparison,0.0,0.0,1
numerical_verbalization,urgency,0.0,0.0,1
rewriting_transformation,negative_original,-0.008667,,3
rewriting_transformation,competence_threat,0.006852,0.015518,3
rewriting_transformation,inconsistency,-0.00706,0.001606,3
rewriting_transformation,regret,-0.005617,0.003049,3
rewriting_transformation,social_comparison,0.011049,0.019716,3
rewriting_transformation,urgency,0.006667,0.015333,3
semantic_abstraction,negative_original,0.0,,1
semantic_abstraction,competence_threat,0.0,0.0,1
semantic_abstraction,inconsistency,0.0,0.0,1
semantic_abstraction,regret,0.0,0.0,1
semantic_abstraction,social_comparison,0.0,0.0,1
semantic_abstraction,urgency,0.0,0.0,1
semantic_filtering,negative_original,-0.016,,1
semantic_filtering,competence_threat,-0.03,-0.014,1
semantic_filtering,inconsistency,-0.035,-0.019,1
semantic_filtering,regret,-0.01,0.006,1
semantic_filtering,social_comparison,0.0,0.016,1
semantic_filtering,urgency,-0.015,0.001,1
semantic_similarity,negative_original,0.015,,1
semantic_similarity,competence_threat,0.015,0.0,1
semantic_similarity,inconsistency,0.025,0.01,1
semantic_similarity,regret,0.005,-0.01,1
semantic_similarity,social_comparison,0.005,-0.01,1
semantic_similarity,urgency,0.01,-0.005,1
sentiment_classification,negative_original,0.005,,1
sentiment_classification,competence_threat,0.0,-0.005,1
sentiment_classification,inconsistency,0.005,0.0,1
sentiment_classification,regret,0.0,-0.005,1
sentiment_classification,social_comparison,0.0,-0.005,1
sentiment_classification,urgency,0.0,-0.005,1
string_extraction,negative_original,-0.0295,,2
string_extraction,competence_threat,-0.0275,0.002,2
string_extraction,inconsistency,-0.0075,0.022,2
string_extraction,regret,-0.005,0.0245,2
string_extraction,social_comparison,-0.01,0.0195,2
string_extraction,urgency,-0.0025,0.027,2
string_filtering,negative_original,0.038,,1
string_filtering,competence_threat,0.11,0.072,1
string_filtering,inconsistency,0.16,0.122,1
string_filtering,regret,0.08,0.042,1
string_filtering,social_comparison,0.07,0.032,1
string_filtering,urgency,0.08,0.042,1
string_transformation,negative_original,0.0,,1
string_transformation,competence_threat,0.0,0.0,1
string_transformation,inconsistency,0.0,0.0,1
string_transformation,regret,0.0,0.0,1
string_transformation,social_comparison,0.0,0.0,1
string_transformation,urgency,0.0,0.0,1
translation,negative_original,-0.012,,3
translation,competence_threat,0.011667,0.023667,3
translation,inconsistency,0.005,0.017,3
translation,regret,0.005,0.017,3
translation,social_comparison,-0.045,-0.033,3
translation,urgency,-0.008333,0.003667,3
