task,stimulus_group,median_abs_error,seed,model,column_group,box_condition,box_label
sum,baseline,34.0,42.0,flan-t5-large,competence_threat,baseline,baseline
sum,baseline,34.0,43.0,flan-t5-large,competence_threat,baseline,baseline
sum,baseline,34.0,44.0,flan-t5-large,competence_threat,baseline,baseline
diff,baseline,16.0,42.0,flan-t5-large,competence_threat,baseline,baseline
diff,baseline,16.0,43.0,flan-t5-large,competence_threat,baseline,baseline
diff,baseline,16.0,44.0,flan-t5-large,competence_threat,baseline,baseline
sum,competence_threat,34.5,42.0,flan-t5-large,competence_threat,competence_threat,competence_threat
sum,competence_threat,34.0,42.0,flan-t5-large,competence_threat,competence_threat,competence_threat
sum,competence_threat,34.5,43.0,flan-t5-large,competence_threat,competence_threat,competence_threat
sum,competence_threat,34.5,44.0,flan-t5-large,competence_threat,competence_threat,competence_threat
sum,competence_threat,34.0,43.0,flan-t5-large,competence_threat,competence_threat,competence_threat
sum,competence_threat,34.0,44.0,flan-t5-large,competence_threat,competence_threat,competence_threat
diff,competence_threat,15.5,42.0,flan-t5-large,competence_threat,competence_threat,competence_threat
diff,competence_threat,15.5,43.0,flan-t5-large,competence_threat,competence_threat,competence_threat
diff,competence_threat,15.5,44.0,flan-t5-large,competence_threat,competence_threat,competence_threat
diff,competence_threat,15.0,42.0,flan-t5-large,competence_threat,competence_threat,competence_threat
diff,competence_threat,15.0,43.0,flan-t5-large,competence_threat,competence_threat,competence_threat
diff,competence_threat,15.0,44.0,flan-t5-large,competence_threat,competence_threat,competence_threat
sum,baseline,34.0,42.0,flan-t5-large,inconsistency,baseline,baseline
sum,baseline,34.0,43.0,flan-t5-large,inconsistency,baseline,baseline
sum,baseline,34.0,44.0,flan-t5-large,inconsistency,baseline,baseline
diff,baseline,16.0,42.0,flan-t5-large,inconsistency,baseline,baseline
diff,baseline,16.0,43.0,flan-t5-large,inconsistency,baseline,baseline
diff,baseline,16.0,44.0,flan-t5-large,inconsistency,baseline,baseline
sum,inconsistency,35.0,42.0,flan-t5-large,inconsistency,inconsistency,inconsistency
sum,inconsistency,34.0,42.0,flan-t5-large,inconsistency,inconsistency,inconsistency
sum,inconsistency,35.0,43.0,flan-t5-large,inconsistency,inconsistency,inconsistency
sum,inconsistency,35.0,44.0,flan-t5-large,inconsistency,inconsistency,inconsistency
sum,inconsistency,34.0,43.0,flan-t5-large,inconsistency,inconsistency,inconsistency
sum,inconsistency,34.0,44.0,flan-t5-large,inconsistency,inconsistency,inconsistency
diff,inconsistency,16.0,42.0,flan-t5-large,inconsistency,inconsistency,inconsistency
diff,inconsistency,16.0,43.0,flan-t5-large,inconsistency,inconsistency,inconsistency
diff,inconsistency,16.0,44.0,flan-t5-large,inconsistency,inconsistency,inconsistency
diff,inconsistency,17.5,42.0,flan-t5-large,inconsistency,inconsistency,inconsistency
diff,inconsistency,17.5,43.0,flan-t5-large,inconsistency,inconsistency,inconsistency
diff,inconsistency,17.5,44.0,flan-t5-large,inconsistency,inconsistency,inconsistency
sum,baseline,34.0,42.0,flan-t5-large,social_comparison,baseline,baseline
sum,baseline,34.0,43.0,flan-t5-large,social_comparison,baseline,baseline
sum,baseline,34.0,44.0,flan-t5-large,social_comparison,baseline,baseline
diff,baseline,16.0,42.0,flan-t5-large,social_comparison,baseline,baseline
diff,baseline,16.0,43.0,flan-t5-large,social_comparison,baseline,baseline
diff,baseline,16.0,44.0,flan-t5-large,social_comparison,baseline,baseline
sum,social_comparison,34.0,42.0,flan-t5-large,social_comparison,social_comparison,social_comparison
sum,social_comparison,34.5,42.0,flan-t5-large,social_comparison,social_comparison,social_comparison
sum,social_comparison,34.0,43.0,flan-t5-large,social_comparison,social_comparison,social_comparison
sum,social_comparison,34.0,44.0,flan-t5-large,social_comparison,social_comparison,social_comparison
sum,social_comparison,34.5,43.0,flan-t5-large,social_comparison,social_comparison,social_comparison
sum,social_comparison,34.5,44.0,flan-t5-large,social_comparison,social_comparison,social_comparison
diff,social_comparison,15.0,42.0,flan-t5-large,social_comparison,social_comparison,social_comparison
diff,social_comparison,15.0,43.0,flan-t5-large,social_comparison,social_comparison,social_comparison
diff,social_comparison,15.0,44.0,flan-t5-large,social_comparison,social_comparison,social_comparison
sum,baseline,34.0,42.0,flan-t5-large,urgency,baseline,baseline
sum,baseline,34.0,43.0,flan-t5-large,urgency,baseline,baseline
sum,baseline,34.0,44.0,flan-t5-large,urgency,baseline,baseline
diff,baseline,16.0,42.0,flan-t5-large,urgency,baseline,baseline
diff,baseline,16.0,43.0,flan-t5-large,urgency,baseline,baseline
diff,baseline,16.0,44.0,flan-t5-large,urgency,baseline,baseline
sum,urgency,37.5,42.0,flan-t5-large,urgency,urgency,urgency
sum,urgency,35.5,42.0,flan-t5-large,urgency,urgency,urgency
sum,urgency,37.5,43.0,flan-t5-large,urgency,urgency,urgency
sum,urgency,37.5,44.0,flan-t5-large,urgency,urgency,urgency
sum,urgency,35.5,43.0,flan-t5-large,urgency,urgency,urgency
sum,urgency,35.5,44.0,flan-t5-large,urgency,urgency,urgency
diff,urgency,11.5,42.0,flan-t5-large,urgency,urgency,urgency
diff,urgency,11.5,43.0,flan-t5-large,urgency,urgency,urgency
diff,urgency,11.5,44.0,flan-t5-large,urgency,urgency,urgency
diff,urgency,14.5,42.0,flan-t5-large,urgency,urgency,urgency
diff,urgency,14.5,43.0,flan-t5-large,urgency,urgency,urgency
diff,urgency,14.5,44.0,flan-t5-large,urgency,urgency,urgency
sum,baseline,34.0,42.0,flan-t5-large,regret,baseline,baseline
sum,baseline,34.0,43.0,flan-t5-large,regret,baseline,baseline
sum,baseline,34.0,44.0,flan-t5-large,regret,baseline,baseline
diff,baseline,16.0,42.0,flan-t5-large,regret,baseline,baseline
diff,baseline,16.0,43.0,flan-t5-large,regret,baseline,baseline
diff,baseline,16.0,44.0,flan-t5-large,regret,baseline,baseline
sum,regret,41.0,42.0,flan-t5-large,regret,regret,regret
sum,regret,34.5,42.0,flan-t5-large,regret,regret,regret
sum,regret,41.0,43.0,flan-t5-large,regret,regret,regret
sum,regret,41.0,44.0,flan-t5-large,regret,regret,regret
sum,regret,34.5,43.0,flan-t5-large,regret,regret,regret
sum,regret,34.5,44.0,flan-t5-large,regret,regret,regret
diff,regret,14.0,42.0,flan-t5-large,regret,regret,regret
diff,regret,14.0,43.0,flan-t5-large,regret,regret,regret
diff,regret,14.0,44.0,flan-t5-large,regret,regret,regret
diff,regret,15.0,42.0,flan-t5-large,regret,regret,regret
diff,regret,15.0,43.0,flan-t5-large,regret,regret,regret
diff,regret,15.0,44.0,flan-t5-large,regret,regret,regret
