task,model,stimulus_group,stimulus_index,legacy_pnum,few_shot,seed,temperature,do_sample,score
sentiment,flan-t5-large,negative_original,,1,False,42,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,2,False,42,0.0,False,0.94
sentiment,flan-t5-large,negative_original,,3,False,42,0.0,False,0.95
sentiment,flan-t5-large,negative_original,,4,False,42,0.0,False,0.94
sentiment,flan-t5-large,negative_original,,5,False,42,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,6,False,42,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,7,False,42,0.0,False,0.94
sentiment,flan-t5-large,negative_original,,8,False,42,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,9,False,42,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,10,False,42,0.0,False,0.93
sum,flan-t5-large,negative_original,,1,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,2,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,3,False,42,0.0,False,0.03
sum,flan-t5-large,negative_original,,4,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,5,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,6,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,7,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,8,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,9,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,10,False,42,0.0,False,0.02
sentiment,flan-t5-large,negative_original,,1,False,42,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,1,False,43,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,1,False,44,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,2,False,42,0.0,False,0.94
sentiment,flan-t5-large,negative_original,,2,False,43,0.0,False,0.94
sentiment,flan-t5-large,negative_original,,2,False,44,0.0,False,0.94
sentiment,flan-t5-large,negative_original,,3,False,42,0.0,False,0.95
sentiment,flan-t5-large,negative_original,,3,False,43,0.0,False,0.95
sentiment,flan-t5-large,negative_original,,3,False,44,0.0,False,0.95
sentiment,flan-t5-large,negative_original,,4,False,42,0.0,False,0.94
sentiment,flan-t5-large,negative_original,,4,False,43,0.0,False,0.94
sentiment,flan-t5-large,negative_original,,4,False,44,0.0,False,0.94
sentiment,flan-t5-large,negative_original,,5,False,42,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,5,False,43,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,5,False,44,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,6,False,42,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,6,False,43,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,6,False,44,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,7,False,42,0.0,False,0.94
sentiment,flan-t5-large,negative_original,,7,False,43,0.0,False,0.94
sentiment,flan-t5-large,negative_original,,7,False,44,0.0,False,0.94
sentiment,flan-t5-large,negative_original,,8,False,42,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,8,False,43,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,8,False,44,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,9,False,42,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,9,False,43,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,9,False,44,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,10,False,42,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,10,False,43,0.0,False,0.93
sentiment,flan-t5-large,negative_original,,10,False,44,0.0,False,0.93
sum,flan-t5-large,negative_original,,1,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,1,False,43,0.0,False,0.02
sum,flan-t5-large,negative_original,,1,False,44,0.0,False,0.02
sum,flan-t5-large,negative_original,,2,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,2,False,43,0.0,False,0.02
sum,flan-t5-large,negative_original,,2,False,44,0.0,False,0.02
sum,flan-t5-large,negative_original,,3,False,42,0.0,False,0.03
sum,flan-t5-large,negative_original,,3,False,43,0.0,False,0.03
sum,flan-t5-large,negative_original,,3,False,44,0.0,False,0.03
sum,flan-t5-large,negative_original,,4,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,4,False,43,0.0,False,0.02
sum,flan-t5-large,negative_original,,4,False,44,0.0,False,0.02
sum,flan-t5-large,negative_original,,5,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,5,False,43,0.0,False,0.02
sum,flan-t5-large,negative_original,,5,False,44,0.0,False,0.02
sum,flan-t5-large,negative_original,,6,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,6,False,43,0.0,False,0.02
sum,flan-t5-large,negative_original,,6,False,44,0.0,False,0.02
sum,flan-t5-large,negative_original,,7,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,7,False,43,0.0,False,0.02
sum,flan-t5-large,negative_original,,7,False,44,0.0,False,0.02
sum,flan-t5-large,negative_original,,8,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,8,False,43,0.0,False,0.02
sum,flan-t5-large,negative_original,,8,False,44,0.0,False,0.02
sum,flan-t5-large,negative_original,,9,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,9,False,43,0.0,False,0.02
sum,flan-t5-large,negative_original,,9,False,44,0.0,False,0.02
sum,flan-t5-large,negative_original,,10,False,42,0.0,False,0.02
sum,flan-t5-large,negative_original,,10,False,43,0.0,False,0.02
sum,flan-t5-large,negative_original,,10,False,44,0.0,False,0.02
active_to_passive,flan-t5-large,negative_original,,1,False,42,0.0,False,0.01
active_to_passive,flan-t5-large,negative_original,,1,False,43,0.0,False,0.01
active_to_passive,flan-t5-large,negative_original,,1,False,44,0.0,False,0.01
active_to_passive,flan-t5-large,negative_original,,2,False,42,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,2,False,43,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,2,False,44,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,3,False,42,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,3,False,43,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,3,False,44,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,4,False,42,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,4,False,43,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,4,False,44,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,5,False,42,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,5,False,43,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,5,False,44,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,6,False,42,0.0,False,0.01
active_to_passive,flan-t5-large,negative_original,,6,False,43,0.0,False,0.01
active_to_passive,flan-t5-large,negative_original,,6,False,44,0.0,False,0.01
active_to_passive,flan-t5-large,negative_original,,7,False,42,0.0,False,0.01
active_to_passive,flan-t5-large,negative_original,,7,False,43,0.0,False,0.01
active_to_passive,flan-t5-large,negative_original,,7,False,44,0.0,False,0.01
active_to_passive,flan-t5-large,negative_original,,8,False,42,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,8,False,43,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,8,False,44,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,9,False,42,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,9,False,43,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,9,False,44,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,10,False,42,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,10,False,43,0.0,False,0.0
active_to_passive,flan-t5-large,negative_original,,10,False,44,0.0,False,0.0
antonyms,flan-t5-large,negative_original,,1,False,42,0.0,False,0.55
antonyms,flan-t5-large,negative_original,,1,False,43,0.0,False,0.55
antonyms,flan-t5-large,negative_original,,1,False,44,0.0,False,0.55
antonyms,flan-t5-large,negative_original,,2,False,42,0.0,False,0.56
antonyms,flan-t5-large,negative_original,,2,False,43,0.0,False,0.56
antonyms,flan-t5-large,negative_original,,2,False,44,0.0,False,0.56
antonyms,flan-t5-large,negative_original,,3,False,42,0.0,False,0.52
antonyms,flan-t5-large,negative_original,,3,False,43,0.0,False,0.52
antonyms,flan-t5-large,negative_original,,3,False,44,0.0,False,0.52
antonyms,flan-t5-large,negative_original,,4,False,42,0.0,False,0.55
antonyms,flan-t5-large,negative_original,,4,False,43,0.0,False,0.55
antonyms,flan-t5-large,negative_original,,4,False,44,0.0,False,0.55
antonyms,flan-t5-large,negative_original,,5,False,42,0.0,False,0.56
antonyms,flan-t5-large,negative_original,,5,False,43,0.0,False,0.56
antonyms,flan-t5-large,negative_original,,5,False,44,0.0,False,0.56
antonyms,flan-t5-large,negative_original,,6,False,42,0.0,False,0.57
antonyms,flan-t5-large,negative_original,,6,False,43,0.0,False,0.57
antonyms,flan-t5-large,negative_original,,6,False,44,0.0,False,0.57
antonyms,flan-t5-large,negative_original,,7,False,42,0.0,False,0.55
antonyms,flan-t5-large,negative_original,,7,False,43,0.0,False,0.55
antonyms,flan-t5-large,negative_original,,7,False,44,0.0,False,0.55
antonyms,flan-t5-large,negative_original,,8,False,42,0.0,False,0.52
antonyms,flan-t5-large,negative_original,,8,False,43,0.0,False,0.52
antonyms,flan-t5-large,negative_original,,8,False,44,0.0,False,0.52
antonyms,flan-t5-large,negative_original,,9,False,42,0.0,False,0.54
antonyms,flan-t5-large,negative_original,,9,False,43,0.0,False,0.54
antonyms,flan-t5-large,negative_original,,9,False,44,0.0,False,0.54
antonyms,flan-t5-large,negative_original,,10,False,42,0.0,False,0.53
antonyms,flan-t5-large,negative_original,,10,False,43,0.0,False,0.53
antonyms,flan-t5-large,negative_original,,10,False,44,0.0,False,0.53
cause_and_effect,flan-t5-large,negative_original,,1,False,42,0.0,False,0.68
cause_and_effect,flan-t5-large,negative_original,,1,False,43,0.0,False,0.6
cause_and_effect,flan-t5-large,negative_original,,1,False,44,0.0,False,0.48
cause_and_effect,flan-t5-large,negative_original,,2,False,42,0.0,False,0.6
cause_and_effect,flan-t5-large,negative_original,,2,False,43,0.0,False,0.52
cause_and_effect,flan-t5-large,negative_original,,2,False,44,0.0,False,0.4
